case_id,agent_type,persona_type,difficulty,s_raw,i_fatal,s_agent_hard_zero,s_agent_cap_30,s_agent_cap_40,s_agent_severity
CASE_001,PlanExecute,VIP,medium,84.9,0,84.9,84.9,84.9,84.9
CASE_001,PlanExecute,VIP,medium,88.2,0,88.2,88.2,88.2,88.2
CASE_002,PlanExecute,VIP,hard,92.0,0,92.0,92.0,92.0,92.0
CASE_002,PlanExecute,VIP,hard,92.9,0,92.9,92.9,92.9,92.9
CASE_002,PlanExecute,VIP,hard,86.3,0,86.3,86.3,86.3,86.3
CASE_015,PlanExecute,VIP,easy,89.4,0,89.4,89.4,89.4,89.4
CASE_015,PlanExecute,VIP,easy,84.6,0,84.6,84.6,84.6,84.6
CASE_015,PlanExecute,VIP,easy,86.6,0,86.6,86.6,86.6,86.6
CASE_075,PlanExecute,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_075,PlanExecute,VIP,easy,98.3,0,98.3,98.3,98.3,98.3
CASE_075,PlanExecute,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_090,PlanExecute,VIP,medium,94.2,0,94.2,94.2,94.2,94.2
CASE_090,PlanExecute,VIP,medium,100.0,0,100.0,100.0,100.0,100.0
CASE_090,PlanExecute,VIP,medium,93.2,0,93.2,93.2,93.2,93.2
CASE_141,PlanExecute,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_141,PlanExecute,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_141,PlanExecute,VIP,easy,100.0,0,100.0,100.0,100.0,100.0
CASE_001,ReAct,VIP,medium,88.4,0,88.4,88.4,88.4,88.4
CASE_001,ReAct,VIP,medium,87.7,0,87.7,87.7,87.7,87.7
CASE_001,ReAct,VIP,medium,90.8,0,90.8,90.8,90.8,90.8
CASE_002,ReAct,VIP,hard,87.8,0,87.8,87.8,87.8,87.8
CASE_002,ReAct,VIP,hard,88.8,0,88.8,88.8,88.8,88.8
CASE_002,ReAct,VIP,hard,88.8,0,88.8,88.8,88.8,88.8
CASE_015,ReAct,VIP,easy,72.4,0,72.4,72.4,72.4,72.4
CASE_015,ReAct,VIP,easy,75.0,0,75.0,75.0,75.0,75.0
CASE_015,ReAct,VIP,easy,75.2,0,75.2,75.2,75.2,75.2
CASE_075,ReAct,VIP,easy,83.0,0,83.0,83.0,83.0,83.0
CASE_075,ReAct,VIP,easy,87.0,0,87.0,87.0,87.0,87.0
CASE_075,ReAct,VIP,easy,87.0,0,87.0,87.0,87.0,87.0
CASE_090,ReAct,VIP,medium,83.0,0,83.0,83.0,83.0,83.0
CASE_090,ReAct,VIP,medium,81.9,0,81.9,81.9,81.9,81.9
CASE_090,ReAct,VIP,medium,81.9,0,81.9,81.9,81.9,81.9
CASE_141,ReAct,VIP,easy,72.4,0,72.4,72.4,72.4,72.4
CASE_141,ReAct,VIP,easy,75.3,0,75.3,75.3,75.3,75.3
CASE_141,ReAct,VIP,easy,75.3,0,75.3,75.3,75.3,75.3
CASE_001,Reflection,VIP,medium,94.9,0,94.9,94.9,94.9,94.9
CASE_001,Reflection,VIP,medium,82.8,0,82.8,82.8,82.8,82.8
CASE_001,Reflection,VIP,medium,83.1,0,83.1,83.1,83.1,83.1
CASE_002,Reflection,VIP,hard,96.1,0,96.1,96.1,96.1,96.1
CASE_002,Reflection,VIP,hard,83.6,0,83.6,83.6,83.6,83.6
CASE_002,Reflection,VIP,hard,83.7,0,83.7,83.7,83.7,83.7
CASE_015,Reflection,VIP,easy,86.8,0,86.8,86.8,86.8,86.8
CASE_015,Reflection,VIP,easy,82.2,0,82.2,82.2,82.2,82.2
CASE_015,Reflection,VIP,easy,83.9,0,83.9,83.9,83.9,83.9
CASE_075,Reflection,VIP,easy,90.5,0,90.5,90.5,90.5,90.5
CASE_075,Reflection,VIP,easy,77.4,0,77.4,77.4,77.4,77.4
CASE_075,Reflection,VIP,easy,62.9,0,62.9,62.9,62.9,62.9
CASE_090,Reflection,VIP,medium,88.1,0,88.1,88.1,88.1,88.1
